Input,Real_Phonemes,Reference,Prediction,WER,PER
DH EY | D UW | T EY K | AH P | AH | L AA T | AH V | Y AO R | T AY M |,DH EY | D UW | T EY K | AH P | AH | L AA T | AH V | Y AO R | T AY M |,They do take up a lot of your time.,They do take up a lot of your time.,0,0
W AH T | W UH D | Y UW | L AY K | T UW | D UW | F ER S T |,W AH T | W UH D | Y UW | L AY K | T UW | D UW | F ER S T |,What would you like to do first?,What would you like to do first?,0,0
TH IH NG K | Y AO R K | K AE CH | AH L AO NG | S IH T |,TH AE NG K | Y AO R K | K AE CH | AH L AO NG | S EH T |,thank york catch along set.,Think you're catching along with it?,1,0.08695652174
W IY | AO L | L AY K | M AY | OW N D ER S T | B R AH DH IY ER |,W IY | AO L | L AY K | M AY | OW L D AH S T | B R AH DH ER |,We all like my oldest brother.,We all like my younger brother.,0.1666666667,0.1153846154
DH EY | K AE N D | T UW | AE V | S AH | OW P AY | K AH M |,DH EY | K AE N T | D UW | AE Z | G UH D | AH V | AH | JH AA B |,They can't do as good of a job.,They can't to have so many come.,0.75,0.4814814815
DH AH | S T EY K IH NG | K L AE N D | R AA JH | AH N D ER | DH AH | K R AA P AH T |,DH AH | S T IH K IY | S L AY D | R AH G Z | AH N D ER | DH AH | K AA R P AH T |,The sticky slide rugs under the carpet.,The standing clan and the raj under the canopy.,0.8571428571,0.3235294118
DH AH | S R EH S AH B IY | D IH Z AH Z | R IH K W AY | M IY D IH NG | DH AH | N OW |,DH AH | R EH S AH P IY | D AH Z AH N T | R IY K W AY ER | N IY D IH NG | DH AH | D OW |,The recipe doesn't require kneading the dough.,The susceptibility disease requires needing the snow.,0.7142857143,0.25
W EH N | W AA Z | DH AH | L AE S T | T AY M | W IY | M AE ZH AH N D | Y UW |,W EH N | W AA Z | DH AH | L AE S T | T AY M | W IY | M EH ZH ER D | Y UW |,When was the last time we measured you?,When was the last time we met and you?,0.25,0.09375
AY | G EH S | AY | L AY K | T UW | T EY K | K EH R | AH V | IH T |,AY | G EH S | AY | L AY K | T UW | T EY K | K EH R | AH V | IH T |,I guess I like to take care of it.,I guess I like to take care of it.,0,0
HH AE V | DH EH R | B EH L IY ER Z | R OW M D | AH N D | OW V R IY TH IH NG |,HH AE V | DH EH R | B EH L IY Z | R AH B D | AH N D | EH V R IY TH IH NG |,Have their bellies rubbed and everything.,Have their bellies rubbed and everything.,0,0.1290322581
AY | TH IH NG K | DH AH | M AH T AO R T IY | AA R | IH N | DH AE T |,AY | TH IH NG K | DH AH | M AH JH AO R AH T IY | AA R | IH N | DH AE T |,I think the majority are in that.,I think the majority are in that.,0,0.06896551724
AH | M IH ZH AH W AH L | K AE M P EH R AH S AH N | AH V | V EH R IY AH S | T EH K S T AH S T AH S |,AH | V IH ZH AH W AH L | K AH M P EH R AH S AH N | AH V | V EH R IY AH S | D IH S T AH N S AH Z |,A Visual Comparison of Various Distances,A comparison of various textbooks.,0.3333333333,0.1951219512
D IH F ER AH N T | CH OY S AH Z | B IH T W IY N | B AE S T | AH N D | F Y UW CH ER |,D IH F ER AH N T | CH OY S AH Z | B IH T W IY N | P AE S T | AH N D | F Y UW CH ER |,Different choices between past and future.,Different choices between past and future.,0,0.02777777778
DH AH | D R AA | W IH L | G UW | N OW N T | M AH M | HH IY R |,DH AH | K AA R | W IH L | G OW | N AO R TH | F R AH M | HH IY R |,The car will go north from here.,The car will go not much more here.,0.4285714286,0.3214285714
DH EY | N IH D AH N T | AH | S M AO L ER | S T EY T IH NG |,DH EY | N IY D AH D | AH | S M AO L ER | S EH T IH NG |,They needed a smaller setting.,They didn't need a smaller state.,0.6,0.2173913043
AH B AW T | F AO R | HH AH N D R AH D | T R EY N D | AH P |,AH B AW T | F AO R | HH AH N D R AH D | SH OW D | AH P |,About four hundred showed up.,About four hundred trained up.,0.2,0.1666666667
T AE K S | S IY Z AH N | IH Z | S ER T AH N T L IY | IH N T AH R EH S T IY |,T AE K S | S IY Z AH N | IH Z | S ER T AH N L IY | IH N T AH R EH S T IH NG |,Tax season is certainly interesting.,Tax season is certainly interesting.,0,0.09090909091
IH T S | HH IH Z | CH OY S | T UW | B EY |,IH T S | HH IH Z | CH OY S | T UW | M EY K |,It's his choice to make.,It's his choice to be.,0.2,0.1052631579
CH EH K | AW T | DH AH | N UW | S EH L Z | AY T AH M Z |,CH EH K | AW T | DH AH | N UW | S EY L Z | AY T AH M Z |,Check out the new Sales items!,Check out the new sales items.,0,0.04166666667
EH V R IY B AH N IY | IH Z | S IH N AH | AH L | S K R IY M IH NG |,EH V R IY B AA D IY | IH Z | S IH T IH NG | HH IY R | S K R IY M IH NG |,Everybody is sitting here screaming.,Everybody is seen all screaming.,0.4,0.2666666667
DH IH S | IH Z | T IY CH ER S | F EY V ER IH T | T AA P IH K |,DH IH S | IH Z | T IY CH ER Z | F EY V ER IH T | T AA P IH K |,This is teacher's favourite topic.,This is teacher's favorite topic.,0.2,0.03846153846
L IH S AH N | T UW | Y AO R | P EH R AH IY N Z | R AY T | N AW |,L IH S AH N | T UW | Y AO R | P EH R AH N T S | R AY T | N AW |,Listen to your parents right now.,Listen to your parents right now.,0,0.1071428571
AY V | G AA T | AH | T UW | Y IH R | OW L D |,AY V | G AA T | AH | T UW | Y IH R | OW L D |,I've got a two year old.,I've got a two year old.,0,0
IH T | K UH D | B IY | Y UW Z D | T UW | HH AE N S AH L | S AH M B AA N D IY |,IH T | K UH D | B IY | Y UW Z D | T UW | HH AE S AH L | S AH M B AA D IY |,It could be used to hassle somebody.,It could be used to handle somebody.,0.1428571429,0.0625
W AH N S | DH EY | HH AE V | CH IH L D R AH N | OW V ER | HH IY R |,W AH N S | DH EY | HH AE V | CH IH L D R AH N | OW V ER | HH IY R |,Once they have children over here.,Once they have children over here.,0,0
AY | HH AE V | T UW | B IY | R IY L | K AE R F AH L |,AY | HH AE V | T UW | B IY | R IY L | K EH R F AH L |,I have to be real careful.,I have to be real careful.,0,0.04347826087
W IY | G EH T | DH IY Z | W ER T S |,W IY V | G AA T | DH IY Z | W AH N Z |,We've got these ones.,We get these worths.,0.75,0.2941176471
N AA T | DH AE T | SH IY | W EH L | R IH M EH M B ER | DH EH M |,N AA T | DH AE T | SH IY | W IH L | R IH M EH M B ER | DH EH M |,Not that she will remember them.,Not that she well remember them.,0.1666666667,0.03703703704
AA R | Y UW | P L IY Z | W IH DH | DH IH S | D IH S IH ZH AH N |,AA R | Y UW | P L IY Z D | W IH DH | DH IH S | D IH S IH ZH AH N |,Are you pleased with this decision?,Are you please with this decision?,0.1666666667,0.03571428571
HH IY | W AH T | AO L | OW V ER | AO L | N AW T | W IH DH | HH IH Z | K AA N T JH ER Z |,HH IY | W EH N T | OW V ER | AO L | DH AE T | W IH DH | HH IH Z | D AA K T ER Z |,He went over all that with his doctors.,He what all over all now with his contacts.,0.5,0.2941176471
D IH D | Y UW | HH AE V | T UW | D UW | DH AE T |,D IH D | Y UW | HH AE V | T UW | D UW | DH AE T |,Did you have to do that?,Did you have to do that?,0,0
DH IH S | HH AE P AH N D | AH B AW T | AH | W IY K | AH G OW |,DH IH S | HH AE P AH N D | AH B AW T | AH | W IY K | AH G OW |,This happened about a week ago.,This happened about a week ago.,0,0
SH IY | W AA Z | S AH P OW Z D | T UW | G OW | W IH DH | M IY |,SH IY | W AA Z | S AH P OW Z D | T UW | G OW | W IH DH | M IY |,She was supposed to go with me.,She was supposed to go with me.,0,0
W IY L | R OW V | T AY P | K AE M P IH NG |,R IY L | R AH F | T AY P | K AE M P IH NG |,Real rough type camping.,We'll go type camping.,0.5,0.1578947368
Y UW L | S T EH L | S IY | P IY P AH L |,Y UW L | S T IH L | S IY | P IY P AH L |,You'll still see people.,You'll still see people.,0,0.05555555556
Y UW | N OW | S AH M | AH V | DH AE T |,Y UW | N OW | S AH M | AH V | DH AE T |,You know some of that.,You know some of that.,0,0
HH IY Z | AA N | AH V | DH AH | B IH G | P R AH P ER T AH N S | AH V | DH AE T |,HH IY Z | W AH N | AH V | DH AH | B IH G | P R AH P OW N AH N T S | AH V | DH AE T |,He's one of the big proponents of that.,He's on of the big properties of that.,0.25,0.1388888889
AY | AE M | K R AH M | HH AH R D AH D AH N T ER |,AY | AE M | F R AH M | AA R JH AH N T IY N AH |,I am from Argentina.,I am from Honduras.,0.25,0.45
DH EY | W UH D | HH AE Z | N EH V ER | B IH K | IH T | IH T |,DH EY | W UH D | HH AE V | N EH V ER | P IH K T | IH T | AW T |,They would have never picked it out.,They would have never been it it.,0.2857142857,0.1481481481
AY | G EH T | G R EY T | D EH S T AH S | IH T IH NG | IH T |,AY | G EH T | G R EY T | D IH S T AH N S | HH IH T IH NG | IH T |,I get great distance hitting it.,I get great pleasure in doing it.,0.5,0.1071428571
DH EY | G AA T | S EH L | F AY V | F EY L Y ER | AH V | N OW Z |,DH EY | K UH D | S EH L | F AY V | M IH L Y AH N | AH V | DH OW Z |,They could sell five million of those.,They got sell five feet of snow.,0.4285714286,0.275862069
AY | HH AE V AH N T | S IY N | T UW | M EH N IY | L EY T L IY |,AY | HH AE V AH N T | S IY N | T UW | M EH N IY | L EY T L IY |,I haven't seen too many lately.,I haven't seen too many lately.,0,0
T UW | G OW | AW T | F IH SH IH NG | IH N | AH | B OW T |,T UW | G OW | AW T | F IH SH IH NG | IH N | AH | B OW T |,To go out fishing in a boat.,To go out fishing in a boat.,0,0
S UW D IY Z | D UW | N AA T | L AY K | DH IH S | R IH S P AA R D Z |,S T UW D AH N T S | D UW | N AA T | L AY K | DH IH S | R IH S P AA N S |,Students do not like this response.,She does not like this response.,0.3333333333,0.25
AA N | AH K EY ZH AH N | AY | K AE N | W EH R | CH IY N Z |,AA N | AH K EY ZH AH N | AY | K AE N | W EH R | JH IY N Z |,On occasion I can wear jeans.,On occasion I can wear jeans.,0,0.04
W AH T | SH UH D | W IY | D UW | N AW |,W AH T | SH UH D | W IY | D UW | N AW |,What should we do now?,What should we do now?,0,0
HH AE Z | S AH CH | AH | AY | K L EY | K AA N T AH N T |,HH AE Z | S AH CH | AH | HH AY | K L EY | K AA N T EH N T |,Has such a high clay content.,Has such a big clay content.,0.1666666667,0.08
AY | D OW N T | K UH K | EH N IY M AO R |,AY | D OW N T | K UH K | EH N IY M AO R |,I don't cook anymore.,I don't cook anymore.,0,0
AH V OY D | K AE P B IH T AH L | P AA S IH SH M AH N |,AH V OY D | K AE P IH T AH L | P AH N IH SH M AH N T |,Avoid capital punishment.,Avoid capital punishment.,0,0.1739130435
HH IY | W AO N T IH D | T UW | W AO K | F AO R | M AY L Z |,HH IY | W AO N T IH D | T UW | W AO K | F AO R | M AY L Z |,He wanted to walk for miles.,He wanted to walk for miles.,0,0
DH EH R | AH K AH N AH V IH V Z | AH | L IH T AH L | B IH T | W IY K |,DH EH R | IH K AA N AH M IY Z | AH | L IH T AH L | B IH T | W IY K |,Their economy's a little bit weak.,They're a little bit weak.,0.3333333333,0.1724137931
IH Z | DH EH R | AH | M IH S AH S | F AO R | IH T |,IH Z | DH EH R | AH | B EY S AH S | F AO R | IH T |,Is there a basis for it?,Is there a discount for it?,0.1666666667,0.09090909091
P UH L | AO L | DH IH S | W EY T |,P UH L | AO L | DH IH S | W EY T |,Pull all this weight.,Pull all this weight.,0,0
DH AE T | W AA Z | AH | SH AA K ER | T UW | M IY |,DH AE T | W AA Z | AH | SH AA K ER | T UW | M IY |,That was a shocker to me.,That was a shocker to me.,0,0
AY | JH AH S T | W AA N T | T UW | EH N JH OY NG | M AY S EH L F | AH | L IH T AH L | B IH T |,AY | JH AH S T | W AA N T | T UW | EH N JH OY | M AY S EH L F | AH | L IH T AH L | B IH T |,I just want to enjoy myself a little bit.,I just want to enjoy myself a little bit.,0,0.02564102564
AH P | IH N | N UW | IH NG G L AH T | W EH R | AY M | F R AH M |,AH P | IH N | N UW | IH NG G L AH N D | W EH R | AY M | F R AH M |,Up in New England where I'm from.,"Up in New England, where I'm from.",0,0.06896551724
AH | L AA T | AH V | P IY P AH NG | K AH M P L EY N |,AH | L AA T | AH V | P IY P AH L | K AH M P L EY N |,A lot of people complain.,A lot of people complain.,0,0.04347826087
EH V R IY TH IH NG | AY | L UH K D | AH B AW T | EH S CH AH N T | K R EY M |,EH V R IY TH IH NG | AY | L ER N IH D | AH B AW T | EY N CH AH N T | R OW M |,Everything I learned about ancient Rome.,Everything I looked about consisted of crime.,0.6666666667,0.21875
AY | D OW N T | L AY K | AH M IH N IH SH EY SH AH N |,AY | D OW N T | L AY K | AE D M IH N IH S T R EY SH AH N |,I don't like administration.,I don't like minimization.,0.25,0.2
IH T | K AH M Z | D AW N | T UW | M ER ZH ER IY |,IH T | K AH M Z | D AW N | T UW | M EH ZH ER IH NG |,It comes down to measuring.,It comes down to measurement.,0.2,0.1363636364
AY | TH IH NG K | DH EY | AO L R EH D IY | D IH D | DH AE T |,AY | TH IH NG K | DH EY | AO L R EH D IY | D IH D | DH AE T |,I think they already did that.,I think they already did that.,0,0
AE F T ER | W IY | G AA T | P EH R IY D | W IY | M UW V D |,AE F T ER | W IY | G AA T | M EH R IY D | W IY | M UW V D |,After we got married we moved.,After we got married we moved.,0,0.03846153846
AY | R IH L IY | L AY K | DH AE T | SH OW |,AY | R IH L IY | L AY K | DH AE T | SH OW |,I really like that show.,I really like that show.,0,0
W AH N | Y IH R | P AH B L IH K | S ER V AH S | F AO R | EH V R IY B AA T IY |,W AH N | Y IH R | P AH B L IH K | S ER V AH S | F AO R | EH V R IY B AA D IY |,One year public service for everybody.,One year public service for everybody.,0,0.02941176471
W EH R | AH | S IH T | D AW N | T AH G EH DH ER | F AE M AH L IY |,W IY R | AH | S IH T | D AW N | T AH G EH DH ER | F AE M AH L IY |,We're a sit down together family.,Where a sit down together family.,0.1666666667,0.03571428571
DH AH | B UW T IY | AH V | DH AH | V Y UW | S T EH N D | DH AH | Y AH NG | B OY |,DH AH | B Y UW T IY | AH V | DH AH | V Y UW | S T AH N D | DH AH | Y AH NG | B OY |,The beauty of the view stunned the young boy.,The beauty of the view stunned the young boy.,0,0.05714285714
DH AH | L IY V S | R EH D | AW T | IH N | S IH S T IH N | W IY K S |,DH AH | L IY S | R AE N | AW T | IH N | S IH K S T IY N | W IY K S |,The lease ran out in sixteen weeks.,The leaves red out in thirteen weeks.,0.4285714286,0.1666666667
IH T | S OW D | R EH D | AH N D | HH EH L D | DH AH | S EY M | M AO R N IH NG |,IH T | S N OW D | R EY N D | AH N D | HH EY L D | DH AH | S EY M | M AO R N IH NG |,"It snowed, rained, and hailed the same morning.",It sold red and held the same morning.,0.375,0.1111111111
DH EY | S EH D | AO F | IH M AH S IH R IY Z | T UW | S T AA R T | N UW | K AE N S ER | K AA L IH IY Z |,DH EY | S EH N D | AO F | EH M AH S EH R IY Z | T UW | S T AA R T | N UW | K AE N S ER | K AA L AH N IY Z |,They send off emissaries to start new cancer colonies.,They said off to start new cancer colleges.,0.3333333333,0.1086956522
S AH M TH IH NG | S IY M Z | AO F | W IH DH | HH ER |,S AH M TH IH NG | S IY M Z | AO F | W IH DH | HH ER |,Something seems off with her.,Something seems off with her.,0,0
W AH T | AH DH ER | G R EH S CH AH N Z | W UH D | Y UW | AE S K |,W AH T | AH DH ER | K W EH S CH AH N Z | W UH D | Y UW | AE S K |,What other questions would you ask?,What other questions would you ask?,0,0.07142857143
Y UW | L AY V | R AY T | AH K R AO S | DH AH | S T R IY T | F R AH M | M AY | D AO T ER |,Y UW | L AY V | R AY T | AH K R AO S | DH AH | S T R IY T | F R AH M | M AY | D AO T ER |,You live right across the street from my daughter.,You live right across the street from my daughter.,0,0
W EH N | TH IH NG Z | D OW N T | G OW | R AY T | Y UW | HH AE V | T UW | AH N JH AE S T |,W EH N | TH IH NG Z | D OW N T | G OW | R AY T | Y UW | HH AE V | T UW | AH JH AH S T |,When things don't go right you have to adjust.,When things don't go right you have to adjust.,0,0.05405405405
HH UW Z | AH | P IH S P AH L | T UW | R EY T | DH AH | F ER S T | D R AE B |,Y UW Z | AH | P EH N S AH L | T UW | R AY T | DH AH | F ER S T | D R AE F T |,Use a pencil to write the first draft.,Who's a person to write the first draft?,0.25,0.2058823529
Y EH T | DH AH | P R EH Z IH D IH D | IH Z | N AA T | R AO NG | T UW | B IY | IH K S AE P AO R W AH N T | AH N | EH N ER JH |,Y EH T | DH AH | P R EH Z IH D AH N T | IH Z | N AA T | R AO NG | T UW | B IY | IH G Z AE S P ER EY T IH D | AH N D | EH N R EY JH D |,Yet the president is not wrong to be exasperated and enraged.,Yet the President is not wrong to be expansive and energetic.,0.1818181818,0.2807017544
DH EH N | Y UW | F AY T | IH T | AH G EH N | HH AH AE N D | L UW Z | IH T | AH G EH N |,DH EH N | Y UW | F AY N D | IH T | AH G EH N | AH N D | L UW Z | IH T | AH G EH N |,Then you find it again and lose it again.,Then you fight it again and hand it again.,0.2222222222,0.1111111111
F IY L | DH AH | JH OW R | T UW | DH AH | T AA P | W IH DH | B OY L IH NG | W AO T ER |,F IH L | DH AH | JH AA R | T UW | DH AH | T AA P | W IH DH | B OY L IH NG | W AO T ER |,Fill the jar to the top with boiling water.,Feel the heat to the top with boiling water.,0.2222222222,0.05555555556
K AO K AO R Z | T IY M Z | D AA L ER Z | K AA N S EH S K EY SH AH N | W EY N D Z | D IH M AH N T L IY |,T ER K W OY Z | T IY M Z | D AA L ER Z | K AA N S AH N T R EY SH AH N | W IH N D Z | S T UW P IH D L IY |,turquoise teams dollars concentration wind's stupidly,"Colorado Rockies, Dallas Cowboys, and Cincinnati Bengals, definitely.",1.333333333,0.3260869565
SH IY | W AA Z | T EY K IH NG | ER | K AY M | T UW | D UW | DH AH | W ER K |,SH IY | W AA Z | T AO K IH NG | HH ER | T AY M | T UW | D UW | DH AH | W ER K |,She was talking her time to do the work.,She was taking her time to do the work.,0.1111111111,0.09090909091
Y AO R | IH K S P IH R IY EY AH N S | IH Z | IH Z | V EH R IY | G UH D | F AO R | DH IH S | JH AA B |,Y AO R | IH K S P IH R IY AH N S | IH Z | V EH R IY | G UH D | F AO R | DH IH S | JH AA B |,Your experience is very good for this job.,Your experience is very good for this job.,0,0.1025641026
IH Z | DH EH R | EH N IY TH IH NG | T UW | D UW | F AO R | M IY |,IH Z | DH EH R | EH N IY TH IH NG | T UW | D UW | F AO R | M IY |,Is there anything to do for me?,Is there anything to do for me?,0,0
AY | D UW | N AA T | D AA K | T UW | P IH T IY | P IY P AH L | IH N | DH AH | M AA L ER IY |,AY | D UW | N AA T | T AO K | T UW | M EH N IY | P IY P AH L | IH N | DH AH | M IH L AH T EH R IY |,I do not talk to many people in the military.,I do not talk to pretty people in the library.,0.2,0.2380952381
DH AH | M AA N M AH M AH N T | AO L F ER Z | F AE N IH N AH L | S EH V S AH Z AH Z N |,DH AH | G AH V ER N M AH N T | AO F ER Z | F AH N AE N SH AH L | S ER V AH S AH Z |,The government offers financial services.,The moment affords family time together.,1,0.3714285714
IH T | P ER T IH Z | T UW | F AY | D IH L AH | L AH V | AE T | DH AH | P ER Z AH S | T AA G |,IH T | P ER T EY N Z | T UW | M AY | D EY L IY | L AY F | AE T | DH AH | P R EH Z AH N T | T AY M |,It pertains to my daily life at the present time.,It pertains to a deal of love at the person to go.,0.7,0.3023255814
D UW | Y UW | HH AE V | EH N IY | R EY N Z | W IH DH | OW L D | CH IH L D R AH N |,D UW | Y UW | HH AE V | EH N IY | F R EH N D Z | W IH DH | OW L D ER | CH IH L D R AH N |,Do you have any friends with older children?,Do you have any reasons with old children?,0.25,0.1052631579
K AO R S | K ER L | IH G Z AE K T L IY | F AE N | W AA SH IH NG |,K AO R S | G ER L | IH G Z AE K T L IY | F AE N | W AA CH IH NG |,course girl exactly fan watching.,"Course, I'm exactly like that, I guess.",1,0.07142857143
DH AH | IY K | S K IH N D | D R AW N D | AA N | DH AH | F IH N JH AH JH D | P EY S |,DH AH | IH NG K | S T EY N | D R AY D | AA N | DH AH | F IH N IH SH T | P EY JH |,The ink stain dried on the finished page.,The acid burned on the injured place.,0.625,0.3529411765
S AO R T | HH AE V | L AY K | AE N | IH N S JH AE N JH | G R OW G R UW M |,S AO R T | AH V | L AY K | AE N | IH K S CH EY N JH | P R OW G R AE M |,Sort of like an exchange program.,Sort of have like an insurance growth.,0.5,0.2258064516
DH AE T | W ER ER N | W IH L | CH EH K | DH IH S | F AE K T |,DH AE T | W UH M AH N | W IH L | CH EH K | DH IH S | F AE K T |,That woman will check this fact.,That woman will check this fact.,0,0.1111111111
M AY | T IY CH ER Z | IH G Z AE K L IY | N UW | M AY | M AY N T |,M AY | T IY CH ER Z | IH G Z AE K T L IY | N UW | M AY | M AY N D |,My teachers exactly knew my mind.,My teachers exactly knew my mind.,0,0.06896551724
B AH T | B R IH NG | DH AH | P AA R T IY | D IH S EH DH ER | W IH L | B IY | IY Z IY ER | S EH D | DH AE N | D AH N |,B AH T | B R IH NG IH NG | DH AH | P AA R T IY | T AH G EH DH ER | W IH L | B IY | IY Z IY ER | S EH D | DH AE N | D AH N |,But bringing the party together will be easier said than done.,But bringing the party closer will be easier said than done.,0.09090909091,0.09803921569
DH AH | K UH K EH AH D | M EY K S T | F L EH L D | T UW | F UW L | DH AH | M ER S |,DH AH | K R UH K AH D | M EY Z | F EY L D | T UW | F UW L | DH AH | M AW S |,The crooked maze failed to fool the mouse.,The cook had made enough to fill the jar.,0.75,0.2424242424
W EH N | AY | HH AE D | M AY | M EH G AH Z AH N Z | AE T | HH OW M |,W EH N | AY | HH AE D | M AY | M AE G AH Z IY N Z | AE T | HH OW M |,When I had my magazines at home.,When I had my magazines at home.,0,0.06896551724
DH EY | AA R | N AW | S T AA R T IH NG | T UW | M EY K | DH EH M |,DH EY | AA R | N AW | S T AA R T IH NG | T UW | M EY K | DH EH M |,They are now starting to make them.,They are now starting to make them.,0,0
S AH M | AH V | DH EH M | D IH D N | S EY | DH AE T |,S AH M | AH V | DH EH M | D IH D | S EY | DH AE T |,Some of them did say that.,Some of them didn't say that.,0.1666666667,0.04545454545
W IY | D IH D AH N T | D UW | IH T | IH T | V EH R IY | M AH CH |,W IY | D IH D AH N T | D UW | IH T | V EH R IY | M AH CH |,We didn't do it very much.,We didn't do it very much.,0,0.12
IH T S | K AY N D | AH V | L AY K | JH AO R IY | DH IH S | L AY N |,IH T S | K AY N D | AH V | L AY K | D R AO IH NG | DH IH S | L AY N |,It's kind of like drawing this line.,It's kind of like jury this line.,0.1428571429,0.1333333333
DH EY | K AE N | P R IH T IY | M AH CH | G EH T | EH V R IY B AA D IY | DH EH R |,DH EY | K AE N | P R IH T IY | M AH CH | G EH T | EH V R IY B AA D IY | DH EH R |,They can pretty much get everybody there.,They can pretty much get everybody there.,0,0
AY | K AE N T | B IH L IY V | DH IH S | IH Z | T R UW |,AY | K AE N T | B IH L IY V | DH IH S | IH Z | T R UW |,I can't believe this is true.,I can't believe this is true.,0,0
DH EH R | W ER K S | AH | S T AO R IY | AH V | AH | W AH T AH | L AE S T | Y IH R |,DH EH R | W AA Z | AH | S T AO R IY | AH V | AH | W UH M AH N | L AE S T | Y IH R |,There was a story of a woman last year.,There works a story of a what a last year.,0.3333333333,0.1666666667
S AH M W AH N | TH AO T | DH IH S | SH OW | W AA Z | V EH R IY | B AE D |,S AH M W AH N | TH AO T | DH IH S | SH OW | W AA Z | V EH R IY | B AE D |,Someone thought this show was very bad.,Someone thought this show was very bad.,0,0
DH IH S | S IY M Z | L AY K | AH | L AA R JH | K AE CH |,DH IH S | S IY M Z | L AY K | AH | L AA R JH | K AE CH |,This seems like a large catch.,This seems like a large catch.,0,0
DH EY V | S T AA R T IH AH D | AH | T R AO G | T EH S T IH NG | P AH L AH S IY |,DH EY V | S T AA R T IH D | AH | D R AH G | T EH S T IH NG | P AA L AH S IY |,They've started a drug testing policy.,They've started a drug testing policy.,0,0.1212121212
AH N D | M AY | IH N Z UH OY AH N S | IH Z | AH B AW T | T UW | EH K S P L AY ER |,AH N D | M AY | IH N SH UH R AH N S | IH Z | AH B AW T | T UW | IH K S P AY R |,And my insurance is about to expire.,And my insurance is about to expire.,0,0.1470588235
S UW | D UW | Y UW | L AY K | Y AO R | Y UW | D R AH K |,S OW | D UW | Y UW | L AY K | Y AO R | N UW | T R AH K |,So do you like your new truck?,So do you like your new truck?,0,0.12
AY | N EH V ER | T OW | T UW | DH AH | F IH SH AH N | S AA N S SH AH N |,AY | N EH V ER | G OW | T UW | DH AH | F IH K SH AH N | S EH K SH AH N |,I never go to the fiction section.,I never go to the fishin' ponds.,0.2857142857,0.1666666667
K AE M P IH NG | IH Z | G EH T IH NG | M AO R | IH K S P EH N S IH V |,K AE M P IH NG | IH Z | G EH T IH NG | M AO R | IH K S P EH N S IH V |,Camping is getting more expensive.,Campng is getting more expensive.,0.2,0
AY | HH AE V | T UW | B AE L AH IY Z | W ER K | AH N D | L AY F |,AY | HH AE V | T UW | B AE L AH N S | W ER K | AH N D | L AY F |,I have to balance work and life.,I have to balance work and life.,0,0.07142857143
T IY M | W UH D | L AY K | T UW | T EY K | AA N | AH DH ER | SH EH AE V ER AH F S |,T IH M | W UH D | L AY K | T UW | T EY K | AA N | AH DH ER | ZH AA N R AH Z |,Tim would like to take on other genres.,Team would like to take on other subjects.,0.25,0.2424242424
DH AH | S P AA R T | D AE EY S | F AH N | IH N T IH L | Y IH R | R | R L EY | IH N |,DH AH | S P AO R T | L UH K S | F AH N | AH N T IH L | Y UH R | P L EY IH NG | IH T |,The sport looks fun until you're playing it.,The sport dance fun until you're ready in.,0.375,0.3243243243
HH AW | L AO NG | AA R | W IY NG | S AH P OW Z D | T UW | T AO K | F AO R |,HH AW | L AO NG | AA R | W IY | S AH P OW Z D | T UW | T AO K | F AO R |,How long are we supposed to talk for?,How long are we supposed to talk for?,0,0.03225806452
R AY S | IH Z | AO F AH N | S ER V D | IH N | R AW N D | B OW L Z |,R AY S | IH Z | AO F AH N | S ER V D | IH N | R AW N D | B OW L Z |,Rice is often served in round bowls.,Rice is often served in round bowls.,0,0
DH EY | S EH D | IH T | W AA Z | R IH L IY | R IH V ER IH NG |,DH EY | S EH D | IH T | W AA Z | R IH L IY | R IH V AH T IH NG |,They said it was really riveting.,They said it was really reversing.,0.1666666667,0.07407407407
L EH T S | M EY K | AH | P R OW G R AE M | F AO R | K IH D Z |,L EH T S | M EY K | AH | P R OW G R AE M | F AO R | K IH D Z |,Let's make a program for kids.,Let's make a program for kids.,0,0
Y UW | L AY K | B EY K S | AH N D | TH IH NG Z |,Y UW | L AY K | P EH T S | AH N D | TH IH NG Z |,You like pets and things.,You like bakes and things.,0.2,0.1428571429
W IY | HH AE V | W ER K T | AH | L AA T | AA N | DH IH S |,W IY | HH AE V | W ER K T | AH | L AA T | AA N | DH IH S |,We have worked a lot on this.,We have worked a lot on this.,0,0
M AY | HH AH Z B AH N D | IH Z | F R IY L NG | N T UW | JH AH S T | T UW |,M AY | HH AH Z B AH N D | IH Z | R IY L | IH N T UW | S P AO R T S | T UW |,My husband is real into sports too.,My husband is free into just to.,0.4285714286,0.2424242424
AY | W AA Z | R IH L IY | W ER K IH NG | W IH DH | DH AH | M IH D AH L | K L AE S |,AY | W AA Z | R IH L IY | W ER K IH NG | W IH DH | DH AH | M IH D AH L | K L AE S |,I was really working with the middle class.,I was really working with the middle class.,0,0
AY | AE M | AW L S R | D UW IH NG | DH IH S |,AY | AE M | AO L S OW | D UW IH NG | DH IH S |,I am also doing this.,I am always doing this.,0.2,0.1052631579
AY | D OW N T | W AO D ER | DH EH M | AO R | EH N IY TH IH NG |,AY | D OW N T | W AO T ER | DH EH M | AO R | EH N IY TH IH NG |,I don't water them or anything.,I don't wonder them or anything.,0.1666666667,0.03846153846
